amount,converted_date,dod
0.9998000264167786,2021-06-05,0.0004003047943115
0.9998999834060668,2021-06-06,0.0001000165939331
0.9998999834060668,2021-06-07,0.0
0.9993000030517578,2021-06-08,-0.0006000399589538
0.9993000030517578,2021-06-09,0.0
0.9995999932289124,2021-06-10,0.0003001689910888672
1.0002000331878662,2021-06-11,0.0006003379821777344
1.0,2021-06-12,-0.00019997358322143555
0.9998999834060669,2021-06-13,-0.00010001659393310547
0.9998999834060669,2021-06-14,0.0
0.9998999834060669,2021-06-15,0.0
1.0003000497817993,2021-06-16,0.0004000663757324219
1.0,2021-06-17,-0.0002999305725097656
0.9997000098228455,2021-06-18,-0.000299990177154541
0.9998999834060669,2021-06-19,0.00020003318786621094
1.000100016593933,2021-06-20,0.00020003318786621094
1.0,2021-06-21,-0.00010001659393310547
0.9998000264167786,2021-06-22,-0.00019997358322143555
0.9998000264167786,2021-06-23,0.0
1.0002000331878662,2021-06-24,0.0004000663757324219
1.0,2021-06-25,-0.00019997358322143555
1.0002000331878662,2021-06-26,0.00020003318786621094
1.0,2021-06-27,-0.00019997358322143555
0.9998999834060669,2021-06-28,-0.00010001659393310547
0.9998999834060669,2021-06-29,0.0
0.9998999834060669,2021-06-30,0.0
0.9998999834060669,2021-07-01,0.0
0.9998999834060669,2021-07-02,0.0
1.0,2021-07-03,0.00010001659393310547
1.000100016593933,2021-07-04,0.00010001659393310547
0.9998999834060669,2021-07-05,-0.00020003318786621094
1.0002000331878662,2021-07-06,0.0003000497817993164
0.9997000098228455,2021-07-07,-0.0004999041557312012
0.9998999834060669,2021-07-08,0.00020003318786621094
