amount,converted_date,dod
2627.72998046875,2021-06-05,-0.0229707360267639
2711.919921875,2021-06-06,0.0320390462875366
2592.050048828125,2021-06-07,-0.0442011356353759
2507.22998046875,2021-06-08,-0.0327231884002685
2610.179931640625,2021-06-09,0.04106128215789795
2471.090087890625,2021-06-10,-0.05328744649887085
2354.010009765625,2021-06-11,-0.047379910945892334
2370.739990234375,2021-06-12,0.0071070194244384766
2509.330078125,2021-06-13,0.058458566665649414
2580.77001953125,2021-06-14,0.02846968173980713
2543.5400390625,2021-06-15,-0.014425933361053467
2367.889892578125,2021-06-16,-0.06905734539031982
2373.280029296875,2021-06-17,0.002276301383972168
2234.090087890625,2021-06-18,-0.058648765087127686
2164.669921875,2021-06-19,-0.031073153018951416
2243.469970703125,2021-06-20,0.03640282154083252
1885.489990234375,2021-06-21,-0.15956532955169678
1879.280029296875,2021-06-22,-0.0032935738563537598
1968.1400146484375,2021-06-23,0.04728400707244873
1989.52001953125,2021-06-24,0.010863065719604492
1808.8199462890625,2021-06-25,-0.09082597494125366
1829.6400146484375,2021-06-26,0.011510252952575684
1982.280029296875,2021-06-27,0.08342623710632324
2084.409912109375,2021-06-28,0.0515214204788208
2165.330078125,2021-06-29,0.03882157802581787
2275.679931640625,2021-06-30,0.050962090492248535
2106.409912109375,2021-07-01,-0.07438218593597412
2154.1298828125,2021-07-02,0.02265465259552002
2226.989990234375,2021-07-03,0.033823490142822266
2322.68994140625,2021-07-04,0.04297280311584473
2196.530029296875,2021-07-05,-0.05431628227233887
2322.5,2021-07-06,0.057349562644958496
2316.570068359375,2021-07-07,-0.002553224563598633
2214.090087890625,2021-07-08,-0.04423779249191284
